datetime,flowrate
5/19/1940,1320
5/20/1940,860
5/21/1940,1080
5/22/1940,1260
5/23/1940,1230
5/24/1940,1210
5/25/1940,1320
5/26/1940,1250
5/27/1940,1060
5/28/1940,1090
5/29/1940,1300
5/30/1940,1780
5/31/1940,3560
6/1/1940,6860
6/2/1940,7060
6/3/1940,6670
6/4/1940,4990
6/5/1940,3180
6/6/1940,2620
6/7/1940,2270
6/8/1940,1590
6/9/1940,1800
6/10/1940,3070
6/11/1940,5540
6/12/1940,7860
6/13/1940,10700
6/14/1940,9350
6/15/1940,7250
6/16/1940,5170
6/17/1940,3500
6/18/1940,2300
6/19/1940,2940
6/20/1940,2010
6/21/1940,1860
6/22/1940,1500
6/23/1940,1760
6/24/1940,3220
6/25/1940,4640
6/26/1940,4470
6/27/1940,2730
6/28/1940,2570
6/29/1940,4940
6/30/1940,7060
7/1/1940,6290
7/2/1940,4470
7/3/1940,3020
7/4/1940,2300
7/5/1940,1520
7/6/1940,1250
7/7/1940,875
7/8/1940,740
7/9/1940,725
7/10/1940,680
7/11/1940,436
7/12/1940,296
7/13/1940,474
7/14/1940,545
7/15/1940,500
7/16/1940,605
7/17/1940,436
7/18/1940,372
7/19/1940,530
7/20/1940,423
7/21/1940,318
7/22/1940,318
7/23/1940,372
7/24/1940,605
7/25/1940,372
7/26/1940,214
7/27/1940,237
7/28/1940,560
7/29/1940,410
7/30/1940,530
7/31/1940,530
8/1/1940,329
8/2/1940,256
8/3/1940,264
8/4/1940,296
8/5/1940,275
8/6/1940,350
8/7/1940,286
8/8/1940,329
8/9/1940,247
8/10/1940,197
8/11/1940,188
8/12/1940,167
8/13/1940,167
8/14/1940,180
8/15/1940,205
8/16/1940,167
8/17/1940,148
8/18/1940,148
8/19/1940,174
8/20/1940,102
8/21/1940,88
8/22/1940,115
8/23/1940,167
8/24/1940,188
8/25/1940,188
8/26/1940,318
8/27/1940,398
8/28/1940,423
8/29/1940,423
8/30/1940,398
8/31/1940,372
9/1/1940,318
9/2/1940,340
9/3/1940,487
9/4/1940,500
9/5/1940,487
9/6/1940,436
9/7/1940,462
9/8/1940,398
9/9/1940,318
9/10/1940,350
9/11/1940,286
9/12/1940,222
9/13/1940,205
9/14/1940,214
9/15/1940,214
9/16/1940,167
9/17/1940,174
9/18/1940,174
9/19/1940,180
9/20/1940,188
9/21/1940,197
9/22/1940,154
9/23/1940,122
9/24/1940,167
9/25/1940,230
9/26/1940,205
9/27/1940,180
9/28/1940,134
9/29/1940,122
9/30/1940,141
10/1/1940,160
10/2/1940,188
10/3/1940,174
10/4/1940,160
10/5/1940,174
10/6/1940,197
10/7/1940,230
10/8/1940,174
10/9/1940,174
10/10/1940,180
10/11/1940,275
10/12/1940,307
10/13/1940,264
10/14/1940,318
10/15/1940,410
10/16/1940,329
10/17/1940,398
10/18/1940,410
10/19/1940,423
10/20/1940,462
10/21/1940,307
10/22/1940,286
10/23/1940,410
10/24/1940,318
10/25/1940,350
10/26/1940,264
10/27/1940,214
10/28/1940,188
10/29/1940,247
10/30/1940,423
10/31/1940,197
11/1/1940,222
11/2/1940,500
11/3/1940,197
11/4/1940,174
11/5/1940,385
11/6/1940,350
11/7/1940,141
11/8/1940,188
11/9/1940,214
11/10/1940,256
11/11/1940,637
11/12/1940,670
11/13/1940,122
11/14/1940,195
11/15/1940,605
11/16/1940,740
11/17/1940,650
11/18/1940,620
11/19/1940,635
11/20/1940,575
11/21/1940,436
11/22/1940,545
11/23/1940,385
11/24/1940,449
11/25/1940,350
11/26/1940,430
11/27/1940,755
11/28/1940,575
11/29/1940,449
11/30/1940,350
12/1/1940,410
12/2/1940,545
12/3/1940,385
12/4/1940,375
12/5/1940,400
12/6/1940,450
12/7/1940,545
12/8/1940,590
12/9/1940,695
12/10/1940,905
12/11/1940,875
12/12/1940,1180
12/13/1940,3330
12/14/1940,2670
12/15/1940,2270
12/16/1940,4150
12/17/1940,5170
12/18/1940,4470
12/19/1940,4300
12/20/1940,4270
12/21/1940,3700
12/22/1940,2940
12/23/1940,2600
12/24/1940,2130
12/25/1940,1650
12/26/1940,1390
12/27/1940,1350
12/28/1940,1350
12/29/1940,2180
12/30/1940,8640
12/31/1940,8700
1/1/1941,8480
1/2/1941,9880
1/3/1941,11900
1/4/1941,10300
1/5/1941,5910
1/6/1941,3900
1/7/1941,3000
1/8/1941,2300
1/9/1941,2000
1/10/1941,1750
1/11/1941,1700
1/12/1941,1500
1/13/1941,1200
1/14/1941,1250
1/15/1941,1000
1/16/1941,850
1/17/1941,950
1/18/1941,1750
1/19/1941,1900
1/20/1941,1500
1/21/1941,1750
1/22/1941,1800
1/23/1941,2000
1/24/1941,2300
1/25/1941,2000
1/26/1941,1500
1/27/1941,1450
1/28/1941,1400
1/29/1941,1300
1/30/1941,1160
1/31/1941,1130
2/1/1941,1090
2/2/1941,1030
2/3/1941,1350
2/4/1941,1370
2/5/1941,1410
2/6/1941,1300
2/7/1941,1330
2/8/1941,1210
2/9/1941,1010
2/10/1941,920
2/11/1941,950
2/12/1941,890
2/13/1941,1210
2/14/1941,4250
2/15/1941,6100
2/16/1941,7250
2/17/1941,6290
2/18/1941,3470
2/19/1941,2600
2/20/1941,2000
2/21/1941,1900
2/22/1941,1800
2/23/1941,1700
2/24/1941,1600
2/25/1941,1540
2/26/1941,1350
2/27/1941,1330
2/28/1941,1110
3/1/1941,1050
3/2/1941,785
3/3/1941,755
3/4/1941,1230
3/5/1941,1060
3/6/1941,1460
3/7/1941,1880
3/8/1941,2040
3/9/1941,1730
3/10/1941,1320
3/11/1941,2390
3/12/1941,2800
3/13/1941,2540
3/14/1941,2880
3/15/1941,3240
3/16/1941,3640
3/17/1941,2580
3/18/1941,2110
3/19/1941,2800
3/20/1941,2100
3/21/1941,2060
3/22/1941,1930
3/23/1941,1330
3/24/1941,1370
3/25/1941,1110
3/26/1941,1080
3/27/1941,1050
3/28/1941,1060
3/29/1941,1110
3/30/1941,982
3/31/1941,1050
4/1/1941,1810
4/2/1941,4270
4/3/1941,3760
4/4/1941,4470
4/5/1941,9270
4/6/1941,9580
4/7/1941,8700
4/8/1941,7650
4/9/1941,4990
4/10/1941,3890
4/11/1941,3210
4/12/1941,2800
4/13/1941,2200
4/14/1941,1780
4/15/1941,1670
4/16/1941,1300
4/17/1941,2500
4/18/1941,2800
4/19/1941,3000
4/20/1941,3200
4/21/1941,2900
4/22/1941,2600
4/23/1941,2420
4/24/1941,2270
4/25/1941,1880
4/26/1941,1670
4/27/1941,1320
4/28/1941,1110
4/29/1941,1140
4/30/1941,935
5/1/1941,875
5/2/1941,860
5/3/1941,815
5/4/1941,800
5/5/1941,635
5/6/1941,680
5/7/1941,785
5/8/1941,650
5/9/1941,770
5/10/1941,560
5/11/1941,605
5/12/1941,635
5/13/1941,770
5/14/1941,710
5/15/1941,665
5/16/1941,890
5/17/1941,755
5/18/1941,560
5/19/1941,605
5/20/1941,890
5/21/1941,860
5/22/1941,875
5/23/1941,650
5/24/1941,725
5/25/1941,530
5/26/1941,487
5/27/1941,560
5/28/1941,340
5/29/1941,296
5/30/1941,230
5/31/1941,545
6/1/1941,575
6/2/1941,605
6/3/1941,1330
6/4/1941,2010
6/5/1941,3670
6/6/1941,6860
6/7/1941,6860
6/8/1941,4990
6/9/1941,2500
6/10/1941,1990
6/11/1941,1460
6/12/1941,1410
6/13/1941,3140
6/14/1941,7250
6/15/1941,8060
6/16/1941,7650
6/17/1941,6480
6/18/1941,4470
6/19/1941,3240
6/20/1941,2440
6/21/1941,1930
6/22/1941,1590
6/23/1941,1330
6/24/1941,998
6/25/1941,710
6/26/1941,650
6/27/1941,650
6/28/1941,620
6/29/1941,600
6/30/1941,540
7/1/1941,500
7/2/1941,635
7/3/1941,976
7/4/1941,785
7/5/1941,530
7/6/1941,530
7/7/1941,436
7/8/1941,436
7/9/1941,329
7/10/1941,318
7/11/1941,385
7/12/1941,385
7/13/1941,286
7/14/1941,275
7/15/1941,329
7/16/1941,372
7/17/1941,340
7/18/1941,275
7/19/1941,431
7/20/1941,329
7/21/1941,214
7/22/1941,197
7/23/1941,214
7/24/1941,286
7/25/1941,239
7/26/1941,188
7/27/1941,197
7/28/1941,239
7/29/1941,222
7/30/1941,340
7/31/1941,264
8/1/1941,174
8/2/1941,148
8/3/1941,141
8/4/1941,122
8/5/1941,128
8/6/1941,115
8/7/1941,102
8/8/1941,74
8/9/1941,70
8/10/1941,67
8/11/1941,70
8/12/1941,115
8/13/1941,97
8/14/1941,97
8/15/1941,141
8/16/1941,154
8/17/1941,128
8/18/1941,92
8/19/1941,106
8/20/1941,106
8/21/1941,134
8/22/1941,160
8/23/1941,154
8/24/1941,134
8/25/1941,230
8/26/1941,275
8/27/1941,205
8/28/1941,197
8/29/1941,214
8/30/1941,222
8/31/1941,340
9/1/1941,239
9/2/1941,128
9/3/1941,154
9/4/1941,205
9/5/1941,286
9/6/1941,307
9/7/1941,188
9/8/1941,148
9/9/1941,275
9/10/1941,247
9/11/1941,167
9/12/1941,110
9/13/1941,115
9/14/1941,141
9/15/1941,174
9/16/1941,160
9/17/1941,134
9/18/1941,88
9/19/1941,92
9/20/1941,97
9/21/1941,97
9/22/1941,92
9/23/1941,102
9/24/1941,92
9/25/1941,262
9/26/1941,118
9/27/1941,45
9/28/1941,40
9/29/1941,36
9/30/1941,47
10/1/1941,74
10/2/1941,45
10/3/1941,60
10/4/1941,60
10/5/1941,205
10/6/1941,154
10/7/1941,1100
10/8/1941,3670
10/9/1941,4200
10/10/1941,2890
10/11/1941,1300
10/12/1941,935
10/13/1941,530
10/14/1941,620
10/15/1941,474
10/16/1941,329
10/17/1941,256
10/18/1941,361
10/19/1941,361
10/20/1941,247
10/21/1941,329
10/22/1941,340
10/23/1941,340
10/24/1941,247
10/25/1941,230
10/26/1941,174
10/27/1941,275
10/28/1941,307
10/29/1941,286
10/30/1941,247
10/31/1941,318
11/1/1941,726
11/2/1941,620
11/3/1941,465
11/4/1941,740
11/5/1941,680
11/6/1941,725
11/7/1941,1370
11/8/1941,1250
11/9/1941,1610
11/10/1941,1690
11/11/1941,1520
11/12/1941,1080
11/13/1941,905
11/14/1941,650
11/15/1941,830
11/16/1941,515
11/17/1941,449
11/18/1941,680
11/19/1941,487
11/20/1941,605
11/21/1941,474
11/22/1941,307
11/23/1941,487
11/24/1941,500
11/25/1941,545
11/26/1941,710
11/27/1941,515
11/28/1941,560
11/29/1941,650
11/30/1941,560
12/1/1941,487
12/2/1941,500
12/3/1941,515
12/4/1941,487
12/5/1941,695
12/6/1941,735
12/7/1941,385
12/8/1941,590
12/9/1941,515
12/10/1941,318
12/11/1941,329
12/12/1941,264
12/13/1941,329
12/14/1941,350
12/15/1941,286
12/16/1941,296
12/17/1941,329
12/18/1941,350
12/19/1941,307
12/20/1941,318
12/21/1941,256
12/22/1941,318
12/23/1941,410
12/24/1941,1190
12/25/1941,4640
12/26/1941,6290
12/27/1941,5350
12/28/1941,3820
12/29/1941,2940
12/30/1941,2440
12/31/1941,1990
1/1/1942,1480
1/2/1942,3440
1/3/1942,5540
1/4/1942,4500
1/5/1942,5000
1/6/1942,2500
1/7/1942,1300
1/8/1942,1150
1/9/1942,1000
1/10/1942,825
1/11/1942,725
1/12/1942,630
1/13/1942,560
1/14/1942,500
1/15/1942,500
1/16/1942,475
1/17/1942,400
1/18/1942,400
1/19/1942,425
1/20/1942,425
1/21/1942,425
1/22/1942,400
1/23/1942,425
1/24/1942,450
1/25/1942,430
1/26/1942,500
1/27/1942,500
1/28/1942,480
1/29/1942,470
1/30/1942,600
1/31/1942,3000
2/1/1942,5000
2/2/1942,7650
2/3/1942,8270
2/4/1942,5720
2/5/1942,6670
2/6/1942,12900
2/7/1942,32000
2/8/1942,36600
2/9/1942,30600
2/10/1942,20200
2/11/1942,13200
2/12/1942,8500
2/13/1942,6000
2/14/1942,4000
2/15/1942,3580
2/16/1942,4270
2/17/1942,18400
2/18/1942,26900
2/19/1942,25500
2/20/1942,20000
2/21/1942,13500
2/22/1942,9000
2/23/1942,6500
2/24/1942,5000
2/25/1942,3500
2/26/1942,2250
2/27/1942,1700
2/28/1942,1500
3/1/1942,1360
3/2/1942,1320
3/3/1942,1200
3/4/1942,1000
3/5/1942,2000
3/6/1942,3500
3/7/1942,4990
3/8/1942,7330
3/9/1942,25200
3/10/1942,34300
3/11/1942,35800
3/12/1942,29000
3/13/1942,22800
3/14/1942,20200
3/15/1942,17200
3/16/1942,16600
3/17/1942,25500
3/18/1942,29000
3/19/1942,28300
3/20/1942,23400
3/21/1942,19600
3/22/1942,16600
3/23/1942,13500
3/24/1942,10300
3/25/1942,7250
3/26/1942,5540
3/27/1942,4470
3/28/1942,5350
3/29/1942,7060
3/30/1942,7860
3/31/1942,8060
4/1/1942,8700
4/2/1942,9350
4/3/1942,9130
4/4/1942,8700
4/5/1942,7250
4/6/1942,6100
4/7/1942,5540
4/8/1942,13200
4/9/1942,20800
4/10/1942,35800
4/11/1942,46400
4/12/1942,45600
4/13/1942,39000
4/14/1942,26900
4/15/1942,19000
4/16/1942,14600
4/17/1942,10300
4/18/1942,6670
4/19/1942,3970
4/20/1942,2860
4/21/1942,2650
4/22/1942,2420
4/23/1942,1970
4/24/1942,1730
4/25/1942,1500
4/26/1942,1570
4/27/1942,1320
4/28/1942,1440
4/29/1942,1140
4/30/1942,1080
5/1/1942,1030
5/2/1942,1030
5/3/1942,950
5/4/1942,1010
5/5/1942,950
5/6/1942,1480
5/7/1942,1700
5/8/1942,1050
5/9/1942,1440
5/10/1942,1280
5/11/1942,1060
5/12/1942,1200
5/13/1942,1010
5/14/1942,890
5/15/1942,845
5/16/1942,1950
5/17/1942,3390
5/18/1942,4040
5/19/1942,2750
5/20/1942,1930
5/21/1942,2620
5/22/1942,2880
5/23/1942,2830
5/24/1942,2200
5/25/1942,1710
5/26/1942,1330
5/27/1942,1130
5/28/1942,1060
5/29/1942,998
5/30/1942,890
5/31/1942,665
6/1/1942,930
6/2/1942,1880
6/3/1942,4300
6/4/1942,2880
6/5/1942,1760
6/6/1942,1540
6/7/1942,1210
6/8/1942,770
6/9/1942,1050
6/10/1942,1090
6/11/1942,1090
6/12/1942,1130
6/13/1942,998
6/14/1942,1780
6/15/1942,2780
6/16/1942,4470
6/17/1942,3860
6/18/1942,2910
6/19/1942,2100
6/20/1942,1670
6/21/1942,4640
6/22/1942,8270
6/23/1942,10500
6/24/1942,7860
6/25/1942,4820
6/26/1942,2600
6/27/1942,1570
6/28/1942,1140
6/29/1942,1010
6/30/1942,950
7/1/1942,680
7/2/1942,575
7/3/1942,560
7/4/1942,680
7/5/1942,515
7/6/1942,695
7/7/1942,998
7/8/1942,905
7/9/1942,935
7/10/1942,966
7/11/1942,966
7/12/1942,905
7/13/1942,1010
7/14/1942,785
7/15/1942,575
7/16/1942,500
7/17/1942,560
7/18/1942,474
7/19/1942,350
7/20/1942,264
7/21/1942,188
7/22/1942,230
7/23/1942,449
7/24/1942,423
7/25/1942,318
7/26/1942,239
7/27/1942,239
7/28/1942,230
7/29/1942,247
7/30/1942,410
7/31/1942,1730
8/1/1942,1710
8/2/1942,2220
8/3/1942,3300
8/4/1942,2370
8/5/1942,1820
8/6/1942,1650
8/7/1942,1350
8/8/1942,1990
8/9/1942,5540
8/10/1942,6100
8/11/1942,5910
8/12/1942,5350
8/13/1942,4300
8/14/1942,2940
8/15/1942,2220
8/16/1942,1650
8/17/1942,1250
8/18/1942,1370
8/19/1942,1330
8/20/1942,1180
8/21/1942,1060
8/22/1942,1030
8/23/1942,1820
8/24/1942,1690
8/25/1942,1610
8/26/1942,1650
8/27/1942,1260
8/28/1942,4160
8/29/1942,6480
8/30/1942,5350
8/31/1942,2960
9/1/1942,1970
9/2/1942,1320
9/3/1942,1080
9/4/1942,950
9/5/1942,815
9/6/1942,575
9/7/1942,575
9/8/1942,710
9/9/1942,1800
9/10/1942,4990
9/11/1942,4470
9/12/1942,2800
9/13/1942,1730
9/14/1942,1200
9/15/1942,982
9/16/1942,905
9/17/1942,920
9/18/1942,860
9/19/1942,1200
9/20/1942,1060
9/21/1942,982
9/22/1942,1140
9/23/1942,755
9/24/1942,800
9/25/1942,474
9/26/1942,530
9/27/1942,515
9/28/1942,372
9/29/1942,247
9/30/1942,500
10/1/1942,500
10/2/1942,500
10/3/1942,665
10/4/1942,830
10/5/1942,575
10/6/1942,398
10/7/1942,340
10/8/1942,515
10/9/1942,462
10/10/1942,474
10/11/1942,487
10/12/1942,410
10/13/1942,398
10/14/1942,530
10/15/1942,620
10/16/1942,620
10/17/1942,530
10/18/1942,449
10/19/1942,436
10/20/1942,462
10/21/1942,487
10/22/1942,500
10/23/1942,665
10/24/1942,515
10/25/1942,462
10/26/1942,545
10/27/1942,410
10/28/1942,256
10/29/1942,329
10/30/1942,410
10/31/1942,410
11/1/1942,385
11/2/1942,770
11/3/1942,1500
11/4/1942,1480
11/5/1942,1540
11/6/1942,1350
11/7/1942,1250
11/8/1942,1130
11/9/1942,920
11/10/1942,2860
11/11/1942,9130
11/12/1942,10000
11/13/1942,7860
11/14/1942,5540
11/15/1942,4080
11/16/1942,2960
11/17/1942,2620
11/18/1942,3150
11/19/1942,6290
11/20/1942,7250
11/21/1942,6290
11/22/1942,8700
11/23/1942,10700
11/24/1942,10700
11/25/1942,10300
11/26/1942,8910
11/27/1942,5720
11/28/1942,3730
11/29/1942,3130
11/30/1942,2220
12/1/1942,2150
12/2/1942,2340
12/3/1942,1180
12/4/1942,1500
12/5/1942,1700
12/6/1942,1600
12/7/1942,1550
12/8/1942,1600
12/9/1942,1500
12/10/1942,1100
12/11/1942,1000
12/12/1942,1050
12/13/1942,1050
12/14/1942,900
12/15/1942,700
12/16/1942,800
12/17/1942,800
12/18/1942,750
12/19/1942,700
12/20/1942,800
12/21/1942,600
12/22/1942,650
12/23/1942,650
12/24/1942,700
12/25/1942,1000
12/26/1942,2500
12/27/1942,8500
12/28/1942,39000
12/29/1942,45600
12/30/1942,40600
12/31/1942,32800
1/1/1943,26200
1/2/1943,21400
1/3/1943,20200
1/4/1943,17800
1/5/1943,15500
1/6/1943,13200
1/7/1943,8500
1/8/1943,5300
1/9/1943,3600
1/10/1943,3400
1/11/1943,3400
1/12/1943,3300
1/13/1943,2200
1/14/1943,2000
1/15/1943,1800
1/16/1943,1650
1/17/1943,1900
1/18/1943,2100
1/19/1943,2270
1/20/1943,1800
1/21/1943,1350
1/22/1943,1400
1/23/1943,1450
1/24/1943,1460
1/25/1943,3070
1/26/1943,6850
1/27/1943,8500
1/28/1943,7600
1/29/1943,5200
1/30/1943,3410
1/31/1943,2750
2/1/1943,2800
2/2/1943,2700
2/3/1943,2860
2/4/1943,3400
2/5/1943,5000
2/6/1943,9000
2/7/1943,12700
2/8/1943,11900
2/9/1943,10500
2/10/1943,8700
2/11/1943,14900
2/12/1943,17200
2/13/1943,16000
2/14/1943,9000
2/15/1943,6000
2/16/1943,5000
2/17/1943,4300
2/18/1943,3500
2/19/1943,3400
2/20/1943,3800
2/21/1943,4300
2/22/1943,6000
2/23/1943,7500
2/24/1943,6670
2/25/1943,5720
2/26/1943,5910
2/27/1943,4170
2/28/1943,4080
3/1/1943,3050
3/2/1943,2470
3/3/1943,1760
3/4/1943,1480
3/5/1943,1500
3/6/1943,1500
3/7/1943,1200
3/8/1943,1200
3/9/1943,1200
3/10/1943,1300
3/11/1943,6700
3/12/1943,8270
3/13/1943,10300
3/14/1943,9130
3/15/1943,7650
3/16/1943,12500
3/17/1943,32800
3/18/1943,39800
3/19/1943,39800
3/20/1943,33600
3/21/1943,28300
3/22/1943,23400
3/23/1943,18400
3/24/1943,14300
3/25/1943,10300
3/26/1943,7650
3/27/1943,6100
3/28/1943,4640
3/29/1943,3730
3/30/1943,2830
3/31/1943,2100
4/1/1943,2130
4/2/1943,2250
4/3/1943,2010
4/4/1943,2130
4/5/1943,2040
4/6/1943,1540
4/7/1943,1730
4/8/1943,1880
4/9/1943,1540
4/10/1943,1690
4/11/1943,1840
4/12/1943,2060
4/13/1943,5910
4/14/1943,7650
4/15/1943,6860
4/16/1943,5000
4/17/1943,2800
4/18/1943,2570
4/19/1943,2420
4/20/1943,2500
4/21/1943,2500
4/22/1943,4000
4/23/1943,4000
4/24/1943,3500
4/25/1943,2800
4/26/1943,2340
4/27/1943,2570
4/28/1943,3920
4/29/1943,4140
4/30/1943,4990
5/1/1943,6290
5/2/1943,5170
5/3/1943,5170
5/4/1943,4990
5/5/1943,4170
5/6/1943,3200
5/7/1943,3200
5/8/1943,2600
5/9/1943,10000
5/10/1943,11200
5/11/1943,25500
5/12/1943,49000
5/13/1943,49000
5/14/1943,44800
5/15/1943,32800
5/16/1943,31300
5/17/1943,41400
5/18/1943,62400
5/19/1943,74000
5/20/1943,77000
5/21/1943,68000
5/22/1943,55100
5/23/1943,43000
5/24/1943,35800
5/25/1943,40600
5/26/1943,37400
5/27/1943,29000
5/28/1943,22100
5/29/1943,17200
5/30/1943,12200
5/31/1943,12200
6/1/1943,17800
6/2/1943,16000
6/3/1943,12700
6/4/1943,10700
6/5/1943,8480
6/6/1943,7060
6/7/1943,7860
6/8/1943,8480
6/9/1943,8060
6/10/1943,6480
6/11/1943,5000
6/12/1943,4670
6/13/1943,3940
6/14/1943,3030
6/15/1943,4840
6/16/1943,9810
6/17/1943,10300
6/18/1943,6860
6/19/1943,4840
6/20/1943,3210
6/21/1943,2750
6/22/1943,2680
6/23/1943,2480
6/24/1943,3480
6/25/1943,3560
6/26/1943,2880
6/27/1943,2480
6/28/1943,6300
6/29/1943,8910
6/30/1943,9580
7/1/1943,7650
7/2/1943,4670
7/3/1943,2550
7/4/1943,2190
7/5/1943,1330
7/6/1943,1960
7/7/1943,6130
7/8/1943,14900
7/9/1943,17800
7/10/1943,16600
7/11/1943,14000
7/12/1943,12900
7/13/1943,12200
7/14/1943,15500
7/15/1943,11500
7/16/1943,9580
7/17/1943,13500
7/18/1943,22800
7/19/1943,25500
7/20/1943,20800
7/21/1943,11000
7/22/1943,8060
7/23/1943,7860
7/24/1943,9810
7/25/1943,8480
7/26/1943,6100
7/27/1943,5350
7/28/1943,3800
7/29/1943,3580
7/30/1943,3940
7/31/1943,5180
8/1/1943,5350
8/2/1943,3800
8/3/1943,2450
8/4/1943,2240
8/5/1943,2800
8/6/1943,4670
8/7/1943,6670
8/8/1943,4670
8/9/1943,3420
8/10/1943,3230
8/11/1943,3420
8/12/1943,3130
8/13/1943,2550
8/14/1943,2520
8/15/1943,1900
8/16/1943,2850
8/17/1943,2080
8/18/1943,1570
8/19/1943,1880
8/20/1943,1630
8/21/1943,1240
8/22/1943,620
8/23/1943,540
8/24/1943,550
8/25/1943,700
8/26/1943,520
8/27/1943,522
8/28/1943,650
8/29/1943,634
8/30/1943,570
8/31/1943,506
9/1/1943,522
9/2/1943,666
9/3/1943,474
9/4/1943,372
9/5/1943,842
9/6/1943,1290
9/7/1943,2780
9/8/1943,6480
9/9/1943,5540
9/10/1943,3720
9/11/1943,2480
9/12/1943,1710
9/13/1943,1290
9/14/1943,1170
9/15/1943,992
9/16/1943,826
9/17/1943,826
9/18/1943,842
9/19/1943,682
9/20/1943,714
9/21/1943,682
9/22/1943,650
9/23/1943,570
9/24/1943,474
9/25/1943,538
9/26/1943,778
9/27/1943,522
9/28/1943,442
9/29/1943,410
9/30/1943,794
10/1/1943,538
10/2/1943,458
10/3/1943,442
10/4/1943,398
10/5/1943,410
10/6/1943,372
10/7/1943,372
10/8/1943,322
10/9/1943,335
10/10/1943,245
10/11/1943,285
10/12/1943,322
10/13/1943,298
10/14/1943,442
10/15/1943,221
10/16/1943,372
10/17/1943,554
10/18/1943,372
10/19/1943,634
10/20/1943,746
10/21/1943,730
10/22/1943,842
10/23/1943,666
10/24/1943,730
10/25/1943,506
10/26/1943,506
10/27/1943,586
10/28/1943,698
10/29/1943,618
10/30/1943,698
10/31/1943,602
11/1/1943,714
11/2/1943,506
11/3/1943,570
11/4/1943,426
11/5/1943,1010
11/6/1943,666
11/7/1943,714
11/8/1943,1710
11/9/1943,3340
11/10/1943,3750
11/11/1943,3290
11/12/1943,2750
11/13/1943,2120
11/14/1943,1550
11/15/1943,1630
11/16/1943,1480
11/17/1943,1370
11/18/1943,1440
11/19/1943,1260
11/20/1943,1170
11/21/1943,1200
11/22/1943,1040
11/23/1943,975
11/24/1943,924
11/25/1943,924
11/26/1943,826
11/27/1943,826
11/28/1943,698
11/29/1943,586
11/30/1943,746
12/1/1943,602
12/2/1943,730
12/3/1943,618
12/4/1943,618
12/5/1943,538
12/6/1943,602
12/7/1943,762
12/8/1943,634
12/9/1943,634
12/10/1943,842
12/11/1943,698
12/12/1943,600
12/13/1943,500
12/14/1943,400
12/15/1943,320
12/16/1943,400
12/17/1943,600
12/18/1943,380
12/19/1943,400
12/20/1943,400
12/21/1943,500
12/22/1943,450
12/23/1943,400
12/24/1943,350
12/25/1943,370
12/26/1943,350
12/27/1943,400
12/28/1943,370
12/29/1943,350
12/30/1943,350
12/31/1943,370
